timestamp,rank,teamName,teamPl,score
20250908_015027,1,Unagi,Rust,4904
20250908_015027,2,Purely Functional Networks,C++,4899
20250908_015027,3,omnes tuus liber sunt pertinere ad nos,OCaml and/or C++,4890
20250908_015027,4,MOYOU,Rust,4890
20250908_015027,5,Spacecat,Rust,4870
20250908_015027,6,Fixstars,"C++,Python",4864
20250908_015027,7,Gon The Fox,Rust,4847
20250908_015027,8,Turing Machinists,[REDACTED],4797
20250908_015027,9,manarimo,Go,4793
20250908_015027,10,DIgital Experts,Rust,4780
20250908_015027,11,Piggyheck,"Rust, Python",4780
20250908_015027,12,Pegovka,C#,4779
20250908_015027,13,House of Lambdas,python,4776
20250908_015027,14,neoアミューズメントスペースa-cho,Rust,4747
20250908_015027,15,chirijako,"Rust,C++,Python",4741
20250908_015027,16,Pigimarl,Rust/Python/C++/TypeScript,4704
20250908_015027,17,Yorofuwa,Go,4699
20250908_015027,18,Highlanders,python,4675
20250908_015027,19,negainoido,Rust,4620
20250908_015027,20,The Higher Order of Zeuxis,Python,4573
20250908_015027,21,ARechitsky,Python,4547
20250908_015027,22,SEK,Python,4442
20250908_015027,23,IKS,"Python, C++",4395
20250908_015027,24,Blue Iris,"Jules, Python, maybe Rust",4393
20250908_015027,25,Heuristic Artis,Rust,4205
20250908_015027,26,WILD BASHKORT MAGES,日本語,4097
20250908_015027,27,Theoretical Hypothetical Infinite Recursive Definitions,C++,3860
20250908_015027,28,powder,Haskell,3827
20250908_015027,29,TBD,rusty,3664
20250908_015027,30,kumanomi,"Rust,C++",3490
20250908_015027,31,V8,[object Object],3207
20250908_015027,32,qedfew,"Haskell, Python, Rust",3140
20250908_015027,33,cashto,python,2984
20250908_015027,34,sanma,C++,2926
20250908_015027,35,Ty chyo pyos? 3.11,Rust,2425
20250908_015027,36,A,P,2193
20250908_015027,37,Lambda Quakens,Swift,1734
20250908_015027,38,ichyo,Rust,1698
20250908_015027,39,Bue World,Rust,1510
20250908_015027,40,Frictionless Bananas,C++,1510
20250908_015027,41,traP,"C++, Rust",1510
20250908_015027,42,xyz600,Rust,1503
20250908_015027,43,jabber.ru,OCaml,1503
20250908_015027,44,The Blind Hen,OCaml,1496
20250908_015027,45,"Snakes, Monkeys, and Two Smoking Lambdas",Python,1492
20250908_015027,46,Tambourine head,OCaml,1487
20250908_015027,47,The Cat is #1!!,"C#, Python",1471
20250908_015027,48,ImportLibrary,"python, ocaml",1464
20250908_015027,49,Raging Mushrooms Team,lisp-ish with a touch of R’lyeh,1463
20250908_015027,50,------- PRIZE CUTOFF -------,scheme,1459
20250908_015027,51,Olympia,"C#,python",1455
20250908_015027,52,code-o-matic,"Java, Python",1455
20250908_015027,53,locally constant,Python,1453
20250908_015027,54,Team 50+,"C++, Java, Python",1427
20250908_015027,55,LILIK UniFi,"Rust, Python-C++, Pascal",1425
20250908_015027,56,Dare Ludum,Rust,1418
20250908_015027,57,Channable & Friends,Rust,1417
20250908_015027,58,Human Instrumentality Project,C#,1413
20250908_015027,59,A Storm of Minds,"lisp, python, java",1401
20250908_015027,60,CTO,Typescript,1394
20250908_015027,61,Zebra Infused Hamsters,Everything except LUA,1390
20250908_015027,62,igusarov,C++,1390
20250908_015027,63,Jimmy C#,C#,1387
20250908_015027,64,SjoerdVisscher,Haskell,1376
20250908_015027,65,Team Sampou,Haskell,1363
20250908_015027,66,DnDn,DnDn,1355
20250908_015027,67,taxidriver,Ruby,1342
20250908_015027,68,hikkash,Rust,1341
20250908_015027,69,shim0,"Python, Rust",1340
20250908_015027,70,uguu.org,C++,1316
20250908_015027,71,M＆M's,Python,1306
20250908_015027,72,tarstars,python,1303
20250908_015027,73,THIRTEEN,"go,kotlin,java,rust",1301
20250908_015027,74,Dis Functional,Go,1300
20250908_015027,75,DK,Python/C++,1292
20250908_015027,76,Solo,Python,1283
20250908_015027,77,i_havent_touched_coding_in_3_months,rust,1270
20250908_015027,78,ootbo,"python, etc",1270
20250908_015027,79,Team Meh,C#,1270
20250908_015027,80,OpenMaster,"ruby,python",1262
20250908_015027,81,LucasKiwi,python,1243
20250908_015027,82,sonna*baka*na,C++,1184
20250908_015027,83,C4T BuT S4D,C+++Python,1179
20250908_015027,84,Bottle kids!,Julia,1170
20250908_015027,85,TSG,OCaml,1165
20250908_015027,86,std::round_tensor(),Lightning,1013
20250908_015027,87,order of the curried llambda,animism,858
20250908_015027,88,Begot,C/C++,858
